Name	Dateofworkshop	Phonenumber	EmailAddress	Age	Gender	AnesthesiaExperience(postresidency)	TraininginUS-guidedPNBduringresidency	HospitalAffliation	%PracticeDevotedtoPNB	AveragenumberofPNBperformedinatypicalmonth	HighestnumberofPNBperformedinonemonth	Ifeelcomfortableplacingperineuralcatheters	IfeelcomfortableusingultrasoundPNB	IamanexpertinUSRA	DoyouuseUS-guidancetoperformregionalanesthesia	IfyouuseUS-guidedRAwhat%oftime	Combinedultrasound-simulation	IfyoudonotcurrentlyuseultrasoundforPNBmostimportantreason	PreferredNervelocalizationtechnique:Interscalene	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Interscalene	PreferredNervelocalizationtechnique:Supraclavicular	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Supraclavicular	PreferredNervelocalizationtechnique:Infraclavicular	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Infraclavicular	PreferredNervelocalizationtechnique:Axillary	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Axillary	PreferredNervelocalizationtechnique:Femoral	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Femoral	PreferredNervelocalizationtechnique:Sciatic(otherthanpopliteal)	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Sciatic(otherthanpopliteal)	PreferredNervelocalizationtechnique:Popliteal	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Popliteal	PreferredNervelocalizationtechnique:TAP	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:TAP	PreferredNervelocalizationtechnique:PosteriorLumbarplexus	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:PosteriorLumbarplexus	PreferredNervelocalizationtechnique:Paravertebral	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Paravertebral	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Preferenceforothernervelocalizationtechniques	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:DidacticLectures	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Scanningonmodelsataworkshop	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Phantompractice(e.g.bluephantomormeat)	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Observationofrealprocedures	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Onlineandotherelectronictutorials	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Textbooks	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Teachingbycolleagues	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Self-teaching	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Mannequinsimulation(immersivelearning)	EncounteredduringanytimeofpracticingRegionalAnesthesia:AnxiousPatient	EncounteredduringanytimeofpracticingRegionalAnesthesia:Anaphylaxisormajorallergicreaction	EncounteredduringanytimeofpracticingRegionalAnesthesia:Localanestheticsystemictoxicity	EncounteredduringanytimeofpracticingRegionalAnesthesia:Tachycardiaduetointravascularinjectionoflocalanestheticsolutionwithepinephrine	EncounteredduringanytimeofpracticingRegionalAnesthesia:Wrongsiteblock	EncounteredduringanytimeofpracticingRegionalAnesthesia:Vasovagalreaction	EncounteredduringanytimeofpracticingRegionalAnesthesia:Inadvertenetparesthesia	LipidRescuepackavailablewherePNBisperformed	Othernotes	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Inadequatetechnicalskills	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Availabilityofultrasoundequipment	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Timepressure	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Supportfromsurgeons	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Preferenceforothernervelocalizationtechniques
masked	6/28/2013	masked	masked	43	2	6	2	2	1000	6	5	1000	1000	1000	1000	1000	1000	1000	1	1000	3	0	1000	1000	0	1000	1000	4	1000	4	1	1000	5	0	1000	1000	0	1000	1000	1	1000	3	1000	1000	1000	1000	1000	1000	1000	3	5	4	4	2	2	5	1000	4	1	2	2	2	2	2	2	1	NA	1000	1000	crossed but not ranked	1000	1000
masked	6/14/2013	masked	masked	38	1	5	2	2	1000	30	40	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	0	1000	1000	2	1000	3	1	1000	5	0	1000	1000	1	1000	5	1	1000	4	1000	1000	1000	1000	1000	1000	1000	4	5	4	4	4	4	5	1000	5	1	2	2	1	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	6/14/2013	masked	masked	60	1	33	2	2	1000	7	12	1000	1000	1000	1000	1000	1000	1000	3	1000	5	1000	1000	5	0	1000	1000	3	1000	4	3	1000	5	0	1000	1000	3	1000	4	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	5	4	4	5	4	4	3	1000	3	1	2	2	1	2	2	1	1	I still am using stimation will ultrasound for the addition margin of safety. For (couldn’t read handwritting)	1000	1000	1000	1000	1000
masked	6/14/2013	masked	masked	41	1	6	1	2	1000	30	40	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	1	1000	4	0	1000	1000	0	1000	1000	1	1000	5	1	1000	5	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	3	4	4	4	4	1000	4	1	2	2	1	2	1	2	1	NA	1000	1000	1000	1000	1000
masked	6/7/2013	masked	masked	33	2	5	1	1	1000	15	20	1000	1000	1000	1000	1000	1000	1000	1	1000	4	1	1000	5	1	1000	3	1	1000	4	1	1000	5	3	1000	4	1	1000	3	1	1000	4	1000	1000	1000	1000	1000	1000	1000	4	5	5	4	3	3	5	1000	4	1	2	1	1	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	6/7/2013	masked	masked	39	2	5	2	2	1000	<10	<10	1000	1000	1000	1000	1000	1000	1000	"2,3"	1000	1	2	1000	1	0	1000	1	"2,3"	1000	1	"2,3"	1000	3	0	1000	1	3	1000	3	0	1000	1000	1000	1000	1000	1000	1000	1000	3	3	4	4	3	2	2	4	1000	5	1	2	1	2	2	1	2	1	NA	1	5	2	4	3
masked	6/7/2013	masked	masked	63	1	29	2	2	1000	27.5	40	1000	1000	1000	1000	1000	1000	1000	1	1000	3	1	1000	3	1	1000	3	0	1000	1000	1	1000	3	0	1000	3	1	1000	3	1	1000	3	1000	1000	1000	1000	1000	1000	1000	4	3	2	5	5	4	5	1000	5	1	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	5/10/2013	masked	masked	51	1	15	2	2	1000	6	10	1000	1000	1000	1000	1000	1000	1000	3	1000	1000	0	1000	1000	1	1000	1000	2	1000	1000	3	1000	1000	0	1000	1000	3	1000	1000	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	4	4	4	2	3	1000	1000	1	2	2	2	1	2	2	1	NA	1000	1000	1000	1000	1000
masked	5/10/2013	masked	masked	40	2	8	2	1	1000	12.5	20	1000	1000	1000	1000	1000	1000	1000	3	1000	2	1	1000	2	1	1000	2	1	1000	3	1	1000	5	1	1000	4	1	1000	4	1	1000	3	1000	1000	1000	1000	1000	1000	1000	2	3	3	4	1	2	3	1000	4	1	2	2	2	1	1	1	1	NA	1000	1000	1000	1000	1000
masked	5/10/2013	masked	masked	42	1	7	1	2	1000	5	15	1000	1000	1000	1000	1000	1000	1000	3	1000	1000	0	1000	1000	3	1000	1000	0	1000	1000	3	1000	1000	3	1000	1000	3	1000	1000	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	3	3	3	3	3	4	1000	4	1	2	1	2	2	2	1	1	boss wants nerve stimulator	2	1000	1000	1000	1000
masked	15-Mar	masked	masked	36	2	2.5	1	2	1000	15	20	1000	1000	1000	1000	1000	1000	1000	1	1000	1000	1	1000	1000	0	1000	1000	0	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	5	5	2	5	4	3	5	1000	4	1	2	2	2	2	2	2	1	NA	1000	1000	1000	1000	1000
masked	3/15/2013	masked	masked	44	1	10	2	2	1000	8	12	1000	1000	1000	1000	1000	1000	1000	2	1000	4	0	1000	1000	0	1000	1000	4	1000	3	3	1000	5	2	1000	3	2	1000	3	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	1000	4	1000	3	4	1000	1000	1	2	1	1	1	2	1	1	NA	1000	1000	1000	1000	1000
masked	3/15/2013	masked	masked	45	2	3	1	2	1000	10	15	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	0	1000	1000	1	1000	5	1	1000	5	3	1000	3	1	1000	5	1	1000	5	1000	1000	1000	1000	1000	1000	1000	3	5	4	5	4	3	5	1000	5	1	2	2	2	1	1	1	1	NA	1000	1000	1000	1000	1000
masked	3/1/2013	masked	masked	34	2	1.5	1	1	1000	15	20	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	0	1000	1	1	1000	4	3	1000	4	0	1000	2	3	1000	4	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	3	5	5	3	5	1000	3	1	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	3/1/2013	masked	masked	38	1	9	1	2	1000	17.5	20	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	1	1000	4	0	1000	1000	1	1000	5	0	1000	3	1	1000	5	1	1000	5	1000	1000	1000	1000	1000	1000	1000	4	4	3	5	5	2	5	1000	4	1	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	3/1/2013	masked	masked	46	1	11	2	1	1000	12	18	1000	1000	1000	1000	1000	1000	1000	1	1000	4	1	1000	4	1	1000	3	1	1000	4	1	1000	4	1	1000	4	1	1000	4	1	1000	4	1000	1000	1000	1000	1000	1000	1000	3	5	5	4	4	3	4	1000	4	1	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	2/1/2013	masked	masked	1000	2	23	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	2	1000	4	0	1000	1000	0	1000	1000	2	1000	4	1	1000	5	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	5	5	1000	5	4	2	4	1000	5	1	2	2	2	2	2	1	1	NA	crossed but not ranked	1000	1000	1000	1000
masked	2/1/2013	masked	masked	51	1	17	2	2	1000	1.5	3.5	1000	1000	1000	1000	1000	1000	1000	1	1000	1	0	1000	1000	0	1000	1000	1000	1000	3	1	1000	3	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	2	1000	1000	4	1000	3	3	1000	1000	1	2	2	2	2	2	1	1	NA	1	1000	3	2	1000
masked	2/1/2013	masked	masked	56	1	19	2	2	1000	0	2	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	4	1000	2	2	1000	2	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	5	3	4	3	5	3	2	5	1000	3	1	2	2	1	2	1	2	1	NA	1	4	2	3	5
masked	1/11/2013	masked	masked	38	1	8.5	1	2	1000	60	90	1000	1000	1000	1000	1000	1000	1000	NA	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1000	1000	1000	1000	1000	1000	1000	2	4	3	5	2	1	5	1000	4	1	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	1/11/2013	masked	masked	47	1	16	2	2	1000	17.5	25	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	1	1000	4	0	1000	1000	1	1000	5	1	1000	3	1	1000	5	1	1000	5	1000	1000	1000	1000	1000	1000	1000	4	5	5	4	3	4	4	1000	1000	1	2	2	2	2	1	1	2	NA	1000	1000	1000	1000	1000
masked	1/11/2013	masked	masked	40	1	4.5	1	2	1000	10	20	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	0	1000	1000	1	1000	1	1	1000	5	1	1000	2	1	1000	5	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	4	4	4	3	5	1000	4	1	2	2	2	2	1	1	1	NA	1000	1000	1000	1000	1000
masked	11/16/2012	masked	masked	46	2	16	2	"1, 2"	1000	0	1	1000	1000	1000	1000	1000	1000	1000	1	1000	3	1	1000	2	0	1000	1000	1	1000	3	1	1000	2	0	1000	1000	1	1000	3	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	NA	1000	1000	1000	1000	1000
masked	11/16/2012	masked	masked	55	1	20	2	2	1000	8	15	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1	1000	1000	"1,2,3"	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	3	5	3	3	5	1000	1000	1	2	2	2	2	1	1	1	NA	1000	1000	1000	1000	1000
masked	5/26/2012	masked	masked	47	2	6	2	1	1000	2	10	1000	1000	1000	1000	1000	1000	1000	1	1000	4	1	1000	4	3	1000	4	0	1000	1000	3	1000	5	3	1000	5	3	1000	5	1	1000	5	1000	1000	1000	1000	1000	1000	1000	4	4	4	5	4	4	5	1000	1000	1	2	2	1	2	2	2	1	Usually uses ultrasound	1000	2	3	1	1000
masked	10/26/2012	masked	masked	52	1	22	2	2	1000	30	1000	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	1	1000	4	0	1000	1000	1	1000	5	0	1000	1000	1	1000	5	1	1000	3	1000	1000	1000	1000	1000	1000	1000	5	5	3	5	4	4	5	1000	4	1	2	2	1	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	10/26/2012	masked	masked	34	2	2	1	"1,2"	1000	50	100	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	3	1000	5	1	1000	5	1	1000	5	3	1000	5	3	1000	5	1	1000	5	1000	1000	1000	1000	1000	1000	1000	2	5	3	4	3	2	4	1000	2	1000	1000	1000	1000	1000	1000	1000	1	NA	1000	1000	1000	1000	1000
masked	9/21/2012	masked	masked	53	1	1000	2	2	1000	12.5	15	1000	1000	1000	1000	1000	1000	1000	2	1000	1000	2	1000	1000	0	1000	1000	2	1000	1000	"1,2"	1000	1000	0	1000	1000	2	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	4	3	5	1000	2	5	1000	4	2	2	2	2	1	2	2	1	NA	checked but not ranked	1000	1000	1000	1000
masked	9/21/2012	masked	masked	48	1	16	2	2	1000	45	1000	1000	1000	1000	1000	1000	1000	1000	1	1000	4	1	1000	3	"1, 0(catheter)"	1000	1	1	1000	1	1	1000	4	0	1000	1000	1	1000	4	1	1000	1	1000	1000	1000	1000	1000	1000	1000	3	4	3	4	3	3	5	1000	1000	2	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	9/14/2012	masked	masked	59	1	>20	2	2	1000	4	5	1000	1000	1000	1000	1000	1000	1000	3	1000	1000	3	1000	1000	3	1000	1000	3	1000	1000	3	1000	1000	0	1000	1000	3	1000	1000	0	1000	3	1000	1000	1000	1000	1000	1000	5	4	5	5	5	4	4	5	1000	4	1	2	2	2	2	2	2	1	NA	3	2	4	3	5
masked	9/14/2012	masked	masked	35	1	4	1	2	1000	6	15	1000	1000	1000	1000	1000	1000	1000	3	1000	3	0	1000	1000	1	1000	4	0	1000	1000	3	1000	4	1	1000	2	1	1000	4	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	5	4	4	4	2	3	1000	3	1	2	2	1	2	1	2	1	NA	1000	1000	1000	1000	1000
masked	9/14/2012	masked	masked	57	1	23	2	2	1000	3	8	1000	1000	1000	1000	1000	1000	1000	3	1000	3	0	1000	1000	0	1000	1000	0	1000	1000	3	1000	4	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	4	3	3	2	4	1000	4	1	2	2	2	2	1	2	1	NA	1000	1000	1000	1000	1000
masked	8/17/2012	masked	masked	1000	1	9	2	2	1000	5	7	1000	1000	1000	1000	1000	1000	1000	2	1000	4	1	1000	2	0	1000	1000	1	1000	2	3	1000	5	0	1000	1000	2	1000	3	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	5	5	1000	5	1000	2	5	1000	1000	1	2	2	2	2	1	2	1	NA	checked but not ranked	1000	1000	1000	1000
masked	8/17/2012	masked	masked	46	1	10	2	1	1000	25	35	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	4	0	1000	1	1	1000	4	1	1000	5	1	1000	3	1	1000	4	1	1000	4	1000	1000	1000	1000	1000	1000	1000	3	5	4	4	3	1	4	1000	3	1	2	2	2	2	2	2	1	NA	1000	1000	1000	1000	1000
masked	8/19/2012	masked	masked	48	1	16	2	2	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	3	1000	4	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	5	4	4	3	4	1000	4	2	2	2	2	2	2	2	1	NA	checked but not ranked	1000	1000	1000	1000
masked	8/3/2012	masked	masked	51	1	20	2	2	1000	2.5	4	1000	1000	1000	1000	1000	1000	1000	1	1000	1000	0	1000	1000	0	1000	1000	4	1000	1000	1	1000	1000	0	1000	1000	1	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	5	3	4	4	4	4	4	4	1000	4	1	2	2	2	2	2	1	1	NA	1000	4	1000	3	5
masked	8/3/2012	masked	masked	49	1	25	2	2	1000	10	15	1000	1000	1000	1000	1000	1000	1000	2	1000	1	0	1000	1000	0	1000	1000	"2,4"	1000	1	2	1000	5	"2,0"	1000	1000	2	1000	5	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	NA	1000	1000	1000	1000	1000
masked	8/3/2012	masked	masked	64	1	36	2	2	1000	0	0	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	4	1000	4	4	4	5	1000	5	2	2	1	1	2	2	1	1	NA	1000	4	2	2	1000
masked	6/22/2012	masked	masked	55	1	20	2	2	1000	4	4	1000	1000	1000	1000	1000	1000	1000	1	1000	3	0	1000	1000	0	1000	1000	1	1000	2	1	1000	3	0	1000	1000	1	1000	1	0	1000	1000	1000	1000	1000	1000	1000	1000	5	3	4	3	3	3	2	5	1000	4	1	2	2	2	2	2	2	2	NA	2	3	3	3	5
masked	6/22/2012	masked	masked	49	1	20	2	1	1000	2	5	1000	1000	1000	1000	1000	1000	1000	1	1000	4	0	1000	1000	0	1000	1000	1	1000	5	1	1000	5	1000	1000	3	1	1000	4	1	1000	5	1000	1000	1000	1000	1000	1000	1000	4	4	1000	5	4	4	5	1000	1000	1	2	2	2	2	2	1	1	TAP BLOCK + RECHUSSHEAH	1000	1000	1000	1000	1000
masked	6/22/2012	masked	masked	40	2	8	1	1	1000	<20	20	1000	1000	1000	1000	1000	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1000	1000	1000	1000	1000	1000	4	4	4	3	5	4	4	5	1000	4	1	2	2	2	2	2	1	1	Lipid rescue pack is not @ bedside so time delay	5	3	2	1	4
masked	5/11/2012	masked	masked	40	2	4	1	2	1000	10	15	1000	1000	1000	1000	1000	1000	1000	1	1000	2	1	1000	2	1	1000	1	1	1000	1	1	1000	5	1	1000	1	1	1000	2	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	3	3	4	2	3	5	1000	4	1	2	2	2	2	1	1	1	NA	1000	1000	1000	1000	1000
masked	5/11/2012	masked	masked	50	2	9	2	2	1000	4.5	6.5	1000	1000	1000	1000	1000	1000	1000	3	1000	1000	0	1000	1000	2	1000	1000	3	1000	1000	3	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	4	3	5	3	3	5	1000	5	1	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
